home_listing_id,name,availability,address.addr1,address.city,address.region,address.country,address.postal_code,image[0].url,price,url,description,num_beds,num_baths,property_type,listing_type,year_built,size,status,mls_num,county
1231636,"73 Deerfield  Road, Cranston",for_sale,73 Deerfield  Road,Cranston,Rhode Island,United States,02920,https://t3.realgeeks.media/thumbnail/Cs3Z-lPiyxt3vXRH9szM9oUzujM=/https://property-media.realgeeks.com/405/162fefb02e072b4c65e864959098863f.jpg,"$324,900",https://www.alltownri.com/search/details/535/30/,"3BR | 2BA | 2,448 sqft",3,2,Single Family Residential,for_sale_by_agent,1951,"2,448",ACTIVE,1231636,Providence
1234408,"2333 Victory  Highway, Burrillville",for_sale,2333 Victory  Highway,Burrillville,Rhode Island,United States,02830,https://t3.realgeeks.media/thumbnail/7EgtS85ORuY0Fug27fD6hiq55v0=/https://property-media.realgeeks.com/405/6d7e07f916f0cd910a9d136f0ec8601c.jpg,"$321,000",https://www.alltownri.com/search/details/535/34/,"2BR | 2BA | 1,807 sqft",2,2,Single Family Residential,for_sale_by_agent,1968,"1,807",ACTIVE UNDER CONTRACT,1234408,Providence
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5da722f7a55c57000143f083/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5dafd38229184c00017b06ee/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d4dde67fabb0200019f70cd/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d725e75f3c6d100014e98f7/,,,,,for_sale_by_agent,,,,,
1231873,"026 Brown  Lane, Portsmouth",for_sale,026 Brown  Lane,Portsmouth,Rhode Island,United States,02872,https://t3.realgeeks.media/thumbnail/BRjSMzzLJ2EtKZ3sgSGtkwr44I0=/https://property-media.realgeeks.com/405/3cd3c49d01fa424f9c24da3b4ddc73a3.jpg,"$320,000",https://www.alltownri.com/search/details/535/36/,"2BR | 1BA | 1,200 sqft",2,1,Single Family Residential,for_sale_by_agent,2016,"1,200",ACTIVE,1231873,Newport
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d0e5b2c5a69280001e183b3/,,,,,for_sale_by_agent,,,,,
1239295,"215 Rocky Point  Avenue, Warwick",for_sale,215 Rocky Point  Avenue,Warwick,Rhode Island,United States,02889,https://t3.realgeeks.media/thumbnail/HpNV7Al1BqqCE8kBih9E2g3rFfc=/https://property-media.realgeeks.com/405/8992399fdd37d8bd7da97b26659f25dc.jpg,"$320,000",https://www.alltownri.com/search/details/535/35/,"3BR | 3BA | 2,755 sqft",3,3,Single Family Residential,for_sale_by_agent,1955,"2,755",ACTIVE,1239295,Kent
1226878,"4889 South County  Trail, Charlestown",for_sale,4889 South County  Trail,Charlestown,Rhode Island,United States,02813,https://t3.realgeeks.media/thumbnail/DoUN_E87YGbeAikLVF20q3GA4HY=/https://property-media.realgeeks.com/405/5186b94044c7bf639eb04eb311940a01.jpg,"$320,000",https://www.alltownri.com/search/details/535/37/,"3BR | 2BA | 1,456 sqft",3,2,Single Family Residential,for_sale_by_agent,1987,"1,456",ACTIVE,1226878,Washington
1238841,"47 Morris  Street, West Warwick",for_sale,47 Morris  Street,West Warwick,Rhode Island,United States,02893,https://t3.realgeeks.media/thumbnail/FtVyrcfZ-cw1sKj6g5nm6EY9IME=/https://property-media.realgeeks.com/405/43560778d19b054ad4c91f3156a0ac5f.jpg,"$323,000",https://www.alltownri.com/search/details/535/33/,"3BR | 3BA | 2,244 sqft",3,3,Single Family Residential,for_sale_by_agent,2007,"2,244",ACTIVE UNDER CONTRACT,1238841,Kent
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5dadae2a29184c00017af9a4/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d4b47f6fabb0200019f55b5/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d4b5c2bfabb0200019f590c/,,,,,for_sale_by_agent,,,,,
1239373,"91 Woodland  Street, Lincoln",for_sale,91 Woodland  Street,Lincoln,Rhode Island,United States,02865,https://t3.realgeeks.media/thumbnail/8oefUt0GXpicZqSdYZOwLAxeCwc=/https://property-media.realgeeks.com/405/487ff43fb11b4079c2fad8549c19ed54.jpg,"$323,900",https://www.alltownri.com/search/details/535/32/,"3BR | 1BA | 1,632 sqft",3,1,Single Family Residential,for_sale_by_agent,1967,"1,632",ACTIVE,1239373,Providence
1231591,"5 Truman  Street, Johnston",for_sale,5 Truman  Street,Johnston,Rhode Island,United States,02919,https://t3.realgeeks.media/thumbnail/NXocXup8nFYlZnhogTaWyShyxkE=/https://property-media.realgeeks.com/405/855ec437a66fe65a31469953f7c3bd4e.jpg,"$324,900",https://www.alltownri.com/search/details/535/31/,"4BR | 3BA | 2,808 sqft",4,3,Single Family Residential,for_sale_by_agent,1952,"2,808",ACTIVE UNDER CONTRACT,1231591,Providence
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5da6d0d6f6316b0001b3ca82/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5da6d37df6316b0001b3cb69/,,,,,for_sale_by_agent,,,,,
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5db26b4229184c00017b141f/,,,,,for_sale_by_agent,,,,,
1238997,"82 Tryon  Avenue, East Providence",for_sale,82 Tryon  Avenue,East Providence,Rhode Island,United States,02916,https://t3.realgeeks.media/thumbnail/u74Mj3C3Iaz4riCsWNtDzXNOT0U=/https://property-media.realgeeks.com/405/0dc4f5573e20b84cff2bb3e619cdee9b.jpg,"$319,000",https://www.alltownri.com/search/details/535/58/,"3BR | 2BA | 1,530 sqft",3,2,Single Family Residential,for_sale_by_agent,1965,"1,530",ACTIVE,1238997,Providence
1238499,"55 Cole  Street, Bristol",for_sale,55 Cole  Street,Bristol,Rhode Island,United States,02809,https://t3.realgeeks.media/thumbnail/rg_O40662JVL9BKqwm48GYLiJnE=/https://property-media.realgeeks.com/405/11a26fd2260e6b141e2059d88b2ea2d2.jpg,"$319,000",https://www.alltownri.com/search/details/535/59/,"3BR | 2BA | 1,342 sqft",3,2,Single Family Residential,for_sale_by_agent,1956,"1,342",ACTIVE UNDER CONTRACT,1238499,Bristol
,,for_sale,,,,United States,,,,https://www.alltownri.com/member/contact/5d9d36777fc09d00015b2eab/,,,,,for_sale_by_agent,,,,,
1239814,"50 Paolino  Street, Johnston",for_sale,50 Paolino  Street,Johnston,Rhode Island,United States,02919,https://t3.realgeeks.media/thumbnail/4-Sifw1oYgMjIibsyJPdrxgTRtk=/https://property-media.realgeeks.com/405/e46ceaf1130f1e70b91798d9444bab89.jpg,"$319,000",https://www.alltownri.com/search/details/535/57/,"4BR | 2BA | 2,135 sqft",4,2,Single Family Residential,for_sale_by_agent,1987,"2,135",ACTIVE,1239814,Providence
1238452,"6 Hornbeam  Road, Coventry",for_sale,6 Hornbeam  Road,Coventry,Rhode Island,United States,02816,https://t3.realgeeks.media/thumbnail/cztbBBgNo-Y82AdsJ3EgfPRFTq8=/https://property-media.realgeeks.com/405/0b7aba9310266669bc7b645c7c0dc831.jpg,"$319,400",https://www.alltownri.com/search/details/535/56/,"3BR | 2BA | 1,973 sqft",3,2,Single Family Residential,for_sale_by_agent,1966,"1,973",ACTIVE UNDER CONTRACT,1238452,Kent
